family_id,child_id,word_id_nr,word_id,word_hash,word_type_id,name,form,version,meaning,language,KEY-MEANING,NAME,HOMONYM,OVER-EXTENSION,CODER
281,673,2579,mKU2QlSO0-i6veJn8SFCI,fFd78iiwUQw3atAdQLC7Q,1,WORD,Gła gła,0,Grabić ,polski,RAKING,,,,US
281,673,2598,kfrurARLiqAReiGBdp-VG,1hK1eGYV4QeLyTWkhgp3r,1,WORD,Iiii,0,Piszczeć,polski,SQUEAK,,,,US
281,673,2600,147VAQXCtLlEGubRumwwV,GAfyvewoHDo145Xtw5hhD,1,WORD,Tutu,0,Trąbka ,polski,TRUMPET,,,,JS
281,673,2605,i3p0tYlCvFtM2mSXGBj55,ypIDCZ7WhcULAinHHk7Pm,1,WORD,Ti tit,0,Trąbić ,polski,HONK,,,,JS
281,673,2612,gszfAwfLgswGqeNJiKr12,#NAME?,1,WORD,Bam bam,0,Klocki,polski,BLOCKS,,,,JB
281,673,2646,lWGqtH5l4K1dLVqM5ajWn,wtElrip4PQjbSgStsnyZk,1,WORD,Iiiiiiiii,0,Piszczenie ,polski,SQUEAK,,,,US
281,673,2649,eIUodMsNAhSr78ioA_tVY,tjo1vhjtxHtPyIdgI-VaH,1,WORD,Dzi,0,Dzik,polski,BOAR,,,,US
281,673,2657,KfglmaZtFmPQBfz5Q2qoh,sRwKS2yxisld44xeO1YjX,1,WORD,Mamu,0,Brak,polski,MOM,,,,JB
281,673,2658,S6iYNP2r6EIY_fbc50rm_,CeEpaYSmIIVbGbq_Z5b0Y,1,WORD,Dadu,0,Brak,polski,DAD,,,,JB
281,673,2661,073U_5q_nw0dQYiumC2nR,G7xdQwr7sgQ3jBUwbGwqh,1,WORD,Arra,0,Papuga,polski,PARROT,,,,US
281,673,2660,6AGvZzXYiG9_xH1cBqQyq,fuehwguB1P334CQ6DMrNA,1,WORD,Haha,0,śmiać się ,polski,LAUGH,,,,JS
281,673,2659,lQZMSGVX6btn-LELyolBo,hR8WSBzVVimCuTFU2-06I,1,WORD,Hihi,0,śmiech ,polski,LAUGHTER,,,,JS
281,673,2662,uXDEOYHcQShOv75lF60mV,1l5RO12kb5L5EuioehNDi,1,WORD,Ty,0,"Ja (Józio), pokazanie palcem na siebie",polski,SELF,,,,US
281,673,2685,Nx4SpOIj-s3_RbLUoR3BK,Y-Sg4bLJP1MsOIjq9C4JB,1,WORD,Ziuzia,0,Zuzia,polski,PERSON,1,,,AS(AW)
281,673,2686,0ejn52mYX_Cjjr8UTFjN2,K1yWhWX71Rg9NMqRS93yY,1,WORD,Dziadziu,0,Dziadek,polski,GRANDPA,,,,US
281,673,2687,YWBSWXowAMYLZVLi5_tN_,k3dVltGCNA6bW-OhsvKAY,1,WORD,Dziadzio,0,Dziadek,polski,GRANDPA,,,,US
281,673,2688,eTrSAXoPMIRaGNZE0KUT7,OsQpHpPzaVkvvdANBhcA7,1,WORD,Muma,0,Brak,polski,MOM,,,,JB
281,673,2691,UcJ-1Q8wi3fAZ0acTwZXk,YIU39-o3CEyib40SW96Vk,1,WORD,Ciucia,0,Ciuchcia,polski,CHOO-CHOO,,,,JB
281,673,2708,OgKDa_rzvWORjRlFCamI4,v6r9EyiU_3eXhHeQ4kwIc,1,WORD,Miam mniam,0,Smaczne ,polski,DELICIOUS,,,,JS
281,673,2754,U39jo_6tJfXKROx7nPM_h,5mPhUxE8c2QxRxaiSbbmy,1,WORD,Tadziu,0,Brak,polski,PERSON,1,,,JB
281,673,2755,YFK_NslbVsxQxAiT8R1-v,CgJ3naqeJSjPyWyBy6rAv,1,WORD,Badziu,0,Brak,polski,NA,,,,JB
281,673,2756,#NAME?,duE55CFozz36qHyYf7z7p,1,WORD,Lucia,0,Brak,polski,PERSON,1,,,JB
281,673,3935,#NAME?,DjQtBev73rNXy2vaK80zc,1,WORD,Lula,0,Brak,polski,NA,,,,JB
281,673,4311,Psbaxyn1z6IadXLRZzSY5,#NAME?,1,WORD,Piła ,0,Piła ,polski,SAW,,1,,US
281,673,4813,TGbu1SY_iL4r9JCkU3cJG,skykzs48UnRvcKfiFIU0d,1,WORD,Dudu,0,Drabina,polski,LADDER,,,,US
281,673,4837,aqW43DkbZuPviEue1CKmy,ZEp9_pCfeHitNnTAb8f82,1,WORD,Ma,0,"Mieć, posiadać ",polski,HAVE,,,,JB
281,673,5272,gSlR2sZqrt2A6dml2B7Oa,rzcS4oMknzzI9-lZCvpck,1,WORD,Ej,0,Hej,polski,HI,,,,US
281,673,5273,pbLOynuchndXJBMjKMtmD,nCDrnDTh70PxTfnTqC3j0,1,WORD,Łiła,0,Brak,polski,NA,,,,JB
281,673,5325,LJXgTDfLjC6CMg0lZWxFf,JxYNi7dilttUF29HU1O5x,1,WORD,Lula,0,Rura,polski,PIPE,,,,JS
